Election_District,ED_Number,Candidate_ID,Candidate_Name,Votes,Percentage,Total_Ballots_in_ED,Total_Valid_Votes_in_ED
ED: 001,1,TOTAL_VALID,TOTAL VALID VOTES,364,100.0,420,364
ED: 001,1,219978,Kathryn A. Garcia (219978),138,37.91,420,364
ED: 001,1,219469,Maya D. Wiley (219469),85,23.35,420,364
ED: 001,1,217572,Eric L. Adams (217572),49,13.46,420,364
ED: 001,1,217796,Andrew Yang (217796),34,9.34,420,364
ED: 001,1,217605,Scott M. Stringer (217605),28,7.69,420,364
ED: 001,1,221183,Shaun Donovan (221183),15,4.12,420,364
ED: 001,1,218491,Dianne Morales (218491),4,1.1,420,364
ED: 001,1,221458,Isaac Wright Jr. (221458),3,0.82,420,364
ED: 001,1,218127,Raymond J. McGuire (218127),2,0.55,420,364
ED: 001,1,overvote,Candidate overvote,2,0.55,420,364
ED: 001,1,221141,Art Chang (221141),2,0.55,420,364
ED: 001,1,218117,Paperboy Love Prince (218117),1,0.27,420,364
ED: 001,1,218922,Joycelyn Taylor (218922),1,0.27,420,364
ED: 002,2,TOTAL_VALID,TOTAL VALID VOTES,228,100.0,282,228
ED: 002,2,219978,Kathryn A. Garcia (219978),67,29.39,282,228
ED: 002,2,219469,Maya D. Wiley (219469),54,23.68,282,228
ED: 002,2,217572,Eric L. Adams (217572),33,14.47,282,228
ED: 002,2,217796,Andrew Yang (217796),31,13.6,282,228
ED: 002,2,217605,Scott M. Stringer (217605),27,11.84,282,228
ED: 002,2,221183,Shaun Donovan (221183),7,3.07,282,228
ED: 002,2,218127,Raymond J. McGuire (218127),4,1.75,282,228
ED: 002,2,218491,Dianne Morales (218491),3,1.32,282,228
ED: 002,2,218922,Joycelyn Taylor (218922),1,0.44,282,228
ED: 002,2,221141,Art Chang (221141),1,0.44,282,228
ED: 003,3,TOTAL_VALID,TOTAL VALID VOTES,147,100.0,159,147
ED: 003,3,219469,Maya D. Wiley (219469),65,44.22,159,147
ED: 003,3,219978,Kathryn A. Garcia (219978),25,17.01,159,147
ED: 003,3,217796,Andrew Yang (217796),23,15.65,159,147
ED: 003,3,217572,Eric L. Adams (217572),15,10.2,159,147
ED: 003,3,217605,Scott M. Stringer (217605),7,4.76,159,147
ED: 003,3,218491,Dianne Morales (218491),5,3.4,159,147
ED: 003,3,221183,Shaun Donovan (221183),5,3.4,159,147
ED: 003,3,217654,Aaron S. Foldenauer (217654),2,1.36,159,147
ED: 004,4,TOTAL_VALID,TOTAL VALID VOTES,216,100.0,252,216
ED: 004,4,219469,Maya D. Wiley (219469),79,36.57,252,216
ED: 004,4,219978,Kathryn A. Garcia (219978),59,27.31,252,216
ED: 004,4,217796,Andrew Yang (217796),29,13.43,252,216
ED: 004,4,217572,Eric L. Adams (217572),19,8.8,252,216
ED: 004,4,218491,Dianne Morales (218491),11,5.09,252,216
ED: 004,4,217605,Scott M. Stringer (217605),7,3.24,252,216
ED: 004,4,221183,Shaun Donovan (221183),5,2.31,252,216
ED: 004,4,218127,Raymond J. McGuire (218127),3,1.39,252,216
ED: 004,4,218117,Paperboy Love Prince (218117),2,0.93,252,216
ED: 004,4,217654,Aaron S. Foldenauer (217654),1,0.46,252,216
ED: 004,4,Write-in,Candidate Write-in,1,0.46,252,216
ED: 005,5,TOTAL_VALID,TOTAL VALID VOTES,180,100.0,207,180
ED: 005,5,219469,Maya D. Wiley (219469),74,41.11,207,180
ED: 005,5,219978,Kathryn A. Garcia (219978),45,25.0,207,180
ED: 005,5,217796,Andrew Yang (217796),18,10.0,207,180
ED: 005,5,217605,Scott M. Stringer (217605),12,6.67,207,180
ED: 005,5,217572,Eric L. Adams (217572),11,6.11,207,180
ED: 005,5,218491,Dianne Morales (218491),7,3.89,207,180
ED: 005,5,221183,Shaun Donovan (221183),5,2.78,207,180
ED: 005,5,218117,Paperboy Love Prince (218117),3,1.67,207,180
ED: 005,5,221141,Art Chang (221141),2,1.11,207,180
ED: 005,5,217654,Aaron S. Foldenauer (217654),2,1.11,207,180
ED: 005,5,218127,Raymond J. McGuire (218127),1,0.56,207,180
ED: 006,6,TOTAL_VALID,TOTAL VALID VOTES,245,100.0,279,245
ED: 006,6,219469,Maya D. Wiley (219469),108,44.08,279,245
ED: 006,6,219978,Kathryn A. Garcia (219978),53,21.63,279,245
ED: 006,6,217796,Andrew Yang (217796),21,8.57,279,245
ED: 006,6,217572,Eric L. Adams (217572),17,6.94,279,245
ED: 006,6,217605,Scott M. Stringer (217605),16,6.53,279,245
ED: 006,6,218491,Dianne Morales (218491),8,3.27,279,245
ED: 006,6,221141,Art Chang (221141),7,2.86,279,245
ED: 006,6,221183,Shaun Donovan (221183),6,2.45,279,245
ED: 006,6,218127,Raymond J. McGuire (218127),3,1.22,279,245
ED: 006,6,218117,Paperboy Love Prince (218117),3,1.22,279,245
ED: 006,6,217654,Aaron S. Foldenauer (217654),2,0.82,279,245
ED: 006,6,221458,Isaac Wright Jr. (221458),1,0.41,279,245
ED: 007,7,TOTAL_VALID,TOTAL VALID VOTES,153,100.0,174,153
ED: 007,7,219469,Maya D. Wiley (219469),58,37.91,174,153
ED: 007,7,219978,Kathryn A. Garcia (219978),45,29.41,174,153
ED: 007,7,217796,Andrew Yang (217796),15,9.8,174,153
ED: 007,7,217572,Eric L. Adams (217572),8,5.23,174,153
ED: 007,7,217605,Scott M. Stringer (217605),7,4.58,174,153
ED: 007,7,221183,Shaun Donovan (221183),6,3.92,174,153
ED: 007,7,221141,Art Chang (221141),4,2.61,174,153
ED: 007,7,218491,Dianne Morales (218491),4,2.61,174,153
ED: 007,7,218127,Raymond J. McGuire (218127),3,1.96,174,153
ED: 007,7,Write-in,Candidate Write-in,2,1.31,174,153
ED: 007,7,217654,Aaron S. Foldenauer (217654),1,0.65,174,153
ED: 008,8,TOTAL_VALID,TOTAL VALID VOTES,242,100.0,293,242
ED: 008,8,219469,Maya D. Wiley (219469),79,32.64,293,242
ED: 008,8,219978,Kathryn A. Garcia (219978),68,28.1,293,242
ED: 008,8,217572,Eric L. Adams (217572),26,10.74,293,242
ED: 008,8,217796,Andrew Yang (217796),22,9.09,293,242
ED: 008,8,217605,Scott M. Stringer (217605),15,6.2,293,242
ED: 008,8,221183,Shaun Donovan (221183),10,4.13,293,242
ED: 008,8,221141,Art Chang (221141),6,2.48,293,242
ED: 008,8,218491,Dianne Morales (218491),6,2.48,293,242
ED: 008,8,218127,Raymond J. McGuire (218127),5,2.07,293,242
ED: 008,8,overvote,Candidate overvote,2,0.83,293,242
ED: 008,8,Write-in,Candidate Write-in,1,0.41,293,242
ED: 008,8,218922,Joycelyn Taylor (218922),1,0.41,293,242
ED: 008,8,217654,Aaron S. Foldenauer (217654),1,0.41,293,242
ED: 009,9,TOTAL_VALID,TOTAL VALID VOTES,106,100.0,119,106
ED: 009,9,219469,Maya D. Wiley (219469),34,32.08,119,106
ED: 009,9,219978,Kathryn A. Garcia (219978),32,30.19,119,106
ED: 009,9,217572,Eric L. Adams (217572),11,10.38,119,106
ED: 009,9,217796,Andrew Yang (217796),10,9.43,119,106
ED: 009,9,217605,Scott M. Stringer (217605),8,7.55,119,106
ED: 009,9,218491,Dianne Morales (218491),7,6.6,119,106
ED: 009,9,221183,Shaun Donovan (221183),1,0.94,119,106
ED: 009,9,218127,Raymond J. McGuire (218127),1,0.94,119,106
ED: 009,9,221141,Art Chang (221141),1,0.94,119,106
ED: 009,9,218117,Paperboy Love Prince (218117),1,0.94,119,106
ED: 010,10,TOTAL_VALID,TOTAL VALID VOTES,198,100.0,221,198
ED: 010,10,219469,Maya D. Wiley (219469),88,44.44,221,198
ED: 010,10,219978,Kathryn A. Garcia (219978),35,17.68,221,198
ED: 010,10,217572,Eric L. Adams (217572),26,13.13,221,198
ED: 010,10,217796,Andrew Yang (217796),22,11.11,221,198
ED: 010,10,218491,Dianne Morales (218491),9,4.55,221,198
